energy,data,uncert
60.9,12.71,0.6
61,12.68,0.59
61.1,12.66,0.59
61.2,12.63,0.59
61.3,12.6,0.59
61.4,12.57,0.59
61.5,12.54,0.59
61.6,12.52,0.59
61.7,12.49,0.59
61.8,12.46,0.58
61.9,12.43,0.58
62,12.41,0.58
62.1,12.38,0.58
62.2,12.35,0.58
62.3,12.33,0.58
62.4,12.3,0.58
62.5,12.27,0.58
62.6,12.25,0.57
62.7,12.22,0.57
62.8,12.19,0.57
62.9,12.17,0.57
63,12.14,0.57
63.1,12.11,0.57
63.2,12.09,0.57
63.3,12.06,0.57
63.4,12.04,0.56
63.5,12.01,0.56
63.6,11.99,0.56
63.7,11.96,0.56
63.8,11.94,0.56
63.9,11.91,0.56
64,11.89,0.56
64.1,11.86,0.56
64.2,11.84,0.56
64.3,11.81,0.55
64.4,11.79,0.55
64.5,11.76,0.55
64.6,11.74,0.55
64.7,11.72,0.55
64.8,11.69,0.55
64.9,11.67,0.55
65,11.64,0.55
65.1,11.62,0.55
65.2,11.6,0.54
65.3,11.57,0.54
65.4,11.55,0.54
65.5,11.53,0.54
65.6,11.5,0.54
65.7,11.48,0.54
65.8,11.46,0.54
65.9,11.43,0.54
66,11.41,0.54
66.1,11.39,0.53
66.2,11.36,0.53
66.3,11.34,0.53
66.4,11.32,0.53
66.5,11.3,0.53
66.6,11.28,0.53
66.7,11.25,0.53
66.8,11.23,0.53
66.9,11.21,0.53
67,11.19,0.52
67.1,11.17,0.52
67.2,11.14,0.52
67.3,11.12,0.52
67.4,11.1,0.52
67.5,11.08,0.52
67.6,11.06,0.52
67.7,11.04,0.52
67.8,11.02,0.52
67.9,10.99,0.52
68,10.97,0.51
68.1,10.95,0.51
68.2,10.93,0.51
68.3,10.91,0.51
68.4,10.89,0.51
68.5,10.87,0.51
68.6,10.85,0.51
68.7,10.83,0.51
68.8,10.81,0.51
68.9,10.79,0.51
69,10.77,0.51
69.1,10.75,0.5
69.2,10.73,0.5
69.3,10.71,0.5
69.4,10.69,0.5
69.5,10.67,0.5
69.6,10.65,0.5
69.7,10.63,0.5
69.8,10.61,0.5
69.9,10.59,0.5
70,10.57,0.55
70.1,10.55,0.55
70.2,10.53,0.55
70.3,10.51,0.55
70.4,10.49,0.55
70.5,10.47,0.55
70.6,10.45,0.54
70.7,10.43,0.54
70.8,10.42,0.54
70.9,10.4,0.54
71,10.38,0.54
71.1,10.36,0.54
71.2,10.34,0.54
71.3,10.32,0.54
71.4,10.3,0.54
71.5,10.29,0.54
71.6,10.27,0.53
71.7,10.25,0.53
71.8,10.23,0.53
71.9,10.21,0.53
72,10.19,0.53
72.1,10.18,0.53
72.2,10.16,0.53
72.3,10.14,0.53
72.4,10.12,0.53
72.5,10.1,0.53
72.6,10.09,0.52
72.7,10.07,0.52
72.8,10.05,0.52
72.9,10.03,0.52
73,10.02,0.52
73.1,10,0.52
73.2,9.98,0.52
73.3,9.96,0.52
73.4,9.95,0.52
73.5,9.93,0.52
73.6,9.91,0.52
73.7,9.9,0.52
73.8,9.88,0.51
73.9,9.86,0.51
74,9.85,0.51
74.1,9.83,0.51
74.2,9.81,0.51
74.3,9.8,0.51
74.4,9.78,0.51
74.5,9.76,0.51
74.6,9.75,0.51
74.7,9.73,0.51
74.8,9.71,0.51
74.9,9.7,0.5
75,9.68,0.5
75.1,9.66,0.5
75.2,9.65,0.5
75.3,9.63,0.5
75.4,9.62,0.5
75.5,9.6,0.5
75.6,9.58,0.5
75.7,9.57,0.5
75.8,9.55,0.5
75.9,9.54,0.5
76,9.52,0.5
76.1,9.5,0.49
76.2,9.49,0.49
76.3,9.47,0.49
76.4,9.46,0.49
76.5,9.44,0.49
76.6,9.43,0.49
76.7,9.41,0.49
76.8,9.4,0.49
76.9,9.38,0.49
77,9.37,0.49
77.1,9.35,0.49
77.2,9.34,0.49
77.3,9.32,0.49
77.4,9.31,0.48
77.5,9.29,0.48
77.6,9.28,0.48
77.7,9.26,0.48
77.8,9.25,0.48
77.9,9.23,0.48
78,9.22,0.48
78.1,9.2,0.48
78.2,9.19,0.48
78.3,9.17,0.48
78.4,9.16,0.48
78.5,9.14,0.48
78.6,9.13,0.48
78.7,9.11,0.47
78.8,9.1,0.47
78.9,9.09,0.47
79,9.07,0.47
79.1,9.06,0.47
79.2,9.04,0.47
79.3,9.03,0.47
79.4,9.01,0.47
79.5,9,0.47
79.6,8.99,0.47
79.7,8.97,0.47
79.8,8.96,0.47
79.9,8.94,0.47
80,8.93,0.52
80.1,8.92,0.52
80.2,8.9,0.52
80.3,8.89,0.52
80.4,8.88,0.52
80.5,8.86,0.52
80.6,8.85,0.52
80.7,8.84,0.52
80.8,8.82,0.52
80.9,8.81,0.51
81,8.79,0.51
81.1,8.78,0.51
81.2,8.77,0.51
81.3,8.75,0.51
81.4,8.74,0.51
81.5,8.73,0.51
81.6,8.71,0.51
81.7,8.7,0.51
81.8,8.69,0.51
81.9,8.68,0.51
82,8.66,0.51
82.1,8.65,0.51
82.2,8.64,0.5
82.3,8.62,0.5
82.4,8.61,0.5
82.5,8.6,0.5
82.6,8.59,0.5
82.7,8.57,0.5
82.8,8.56,0.5
82.9,8.55,0.5
83,8.53,0.5
83.1,8.52,0.5
83.2,8.51,0.5
83.3,8.5,0.5
83.4,8.48,0.5
83.5,8.47,0.5
83.6,8.46,0.49
83.7,8.45,0.49
83.8,8.43,0.49
83.9,8.42,0.49
84,8.41,0.49
84.1,8.4,0.49
84.2,8.39,0.49
84.3,8.37,0.49
84.4,8.36,0.49
84.5,8.35,0.49
84.6,8.34,0.49
84.7,8.32,0.49
84.8,8.31,0.49
84.9,8.3,0.49
85,8.29,0.48
85.1,8.28,0.48
85.2,8.27,0.48
85.3,8.25,0.48
85.4,8.24,0.48
85.5,8.23,0.48
85.6,8.22,0.48
85.7,8.21,0.48
85.8,8.19,0.48
85.9,8.18,0.48
86,8.17,0.48
86.1,8.16,0.48
86.2,8.15,0.48
86.3,8.14,0.48
86.4,8.13,0.47
86.5,8.11,0.47
86.6,8.1,0.47
86.7,8.09,0.47
86.8,8.08,0.47
86.9,8.07,0.47
87,8.06,0.47
87.1,8.05,0.47
87.2,8.04,0.47
87.3,8.02,0.47
87.4,8.01,0.47
87.5,8,0.47
87.6,7.99,0.47
87.7,7.98,0.47
87.8,7.97,0.47
87.9,7.96,0.47
88,7.95,0.46
88.1,7.94,0.46
88.2,7.93,0.46
88.3,7.92,0.46
88.4,7.9,0.46
88.5,7.89,0.46
88.6,7.88,0.46
88.7,7.87,0.46
88.8,7.86,0.46
88.9,7.85,0.46
89,7.84,0.46
89.1,7.83,0.46
89.2,7.82,0.46
89.3,7.81,0.46
89.4,7.8,0.46
89.5,7.79,0.46
89.6,7.78,0.45
