energy,data,uncert
87.4,2.56,0.11
87.5,2.55,0.11
87.6,2.55,0.11
87.7,2.55,0.11
87.8,2.54,0.11
87.9,2.54,0.11
88,2.54,0.11
88.1,2.53,0.11
88.2,2.53,0.11
88.3,2.53,0.11
88.4,2.52,0.11
88.5,2.52,0.11
88.6,2.52,0.11
88.7,2.52,0.11
88.8,2.51,0.11
88.9,2.51,0.11
89,2.51,0.11
89.1,2.5,0.11
89.2,2.5,0.11
89.3,2.5,0.11
89.4,2.49,0.11
89.5,2.49,0.11
89.6,2.49,0.11
89.7,2.48,0.11
89.8,2.48,0.11
89.9,2.48,0.11
90,2.48,0.11
90.1,2.47,0.11
90.2,2.47,0.11
90.3,2.47,0.11
90.4,2.46,0.11
90.5,2.46,0.11
90.6,2.46,0.11
90.7,2.45,0.11
90.8,2.45,0.11
90.9,2.45,0.11
91,2.45,0.11
91.1,2.44,0.11
91.2,2.44,0.11
91.3,2.44,0.11
91.4,2.43,0.11
91.5,2.43,0.11
91.6,2.43,0.11
91.7,2.42,0.11
91.8,2.42,0.11
91.9,2.42,0.11
92,2.42,0.11
92.1,2.41,0.11
92.2,2.41,0.11
92.3,2.41,0.11
92.4,2.4,0.1
92.5,2.4,0.1
92.6,2.4,0.1
92.7,2.4,0.1
92.8,2.39,0.1
92.9,2.39,0.1
93,2.39,0.1
93.1,2.39,0.1
93.2,2.38,0.1
93.3,2.38,0.1
93.4,2.38,0.1
93.5,2.37,0.1
93.6,2.37,0.1
93.7,2.37,0.1
93.8,2.37,0.1
93.9,2.36,0.1
94,2.36,0.1
94.1,2.36,0.1
94.2,2.35,0.1
94.3,2.35,0.1
94.4,2.35,0.1
94.5,2.35,0.1
94.6,2.34,0.1
94.7,2.34,0.1
94.8,2.34,0.1
94.9,2.34,0.1
95,2.33,0.1
95.1,2.33,0.1
95.2,2.33,0.1
95.3,2.32,0.1
95.4,2.32,0.1
95.5,2.32,0.1
95.6,2.32,0.1
95.7,2.31,0.1
95.8,2.31,0.1
95.9,2.31,0.1
96,2.31,0.1
96.1,2.3,0.1
96.2,2.3,0.1
96.3,2.3,0.1
96.4,2.3,0.1
96.5,2.29,0.1
96.6,2.29,0.1
96.7,2.29,0.1
96.8,2.29,0.1
96.9,2.28,0.1
97,2.28,0.1
97.1,2.28,0.1
97.2,2.27,0.1
97.3,2.27,0.1
97.4,2.27,0.1
97.5,2.27,0.1
97.6,2.26,0.1
97.7,2.26,0.1
97.8,2.26,0.1
97.9,2.26,0.1
98,2.25,0.1
98.1,2.25,0.1
98.2,2.25,0.1
98.3,2.25,0.1
98.4,2.24,0.1
